dataset,n_edits,method,edit_success_mean,edit_success_std,preservation_mean,preservation_std,preserve_accuracy_mean,preserve_accuracy_std,logit_drift_mean,logit_drift_std,preservation_kl_mean,preservation_kl_std,relative_param_change_mean,relative_param_change_std,structural_cost_mean,structural_cost_std,runtime_s_mean,runtime_s_std
breast_cancer,1,EWC,1.0,0.0,0.5019607941309611,0.1912744900806484,0.5039215683937073,0.2105630268009754,48.51430702209473,19.581172930443547,2.8045260111490884,1.7281191137610337,0.5020459691683451,0.08086743605476951,29.716256459554035,3.328479089978722,0.03730160733342321,0.00371273670010161
breast_cancer,1,Euclidean-MSR,1.0,0.0,0.7039215664068857,0.22662968669268244,0.6941176454226176,0.2562033020588394,28.299868901570637,10.782690596076296,0.642831951379776,0.5646925089105528,0.21288845439751944,0.03596109837141965,30.643810272216797,5.6930696070535305,0.003759633333478026,0.000454397703262241
breast_cancer,1,FT,1.0,0.0,0.40392157435417175,0.15477780153425602,0.40588236848513287,0.17119567976115665,65.85862096150716,23.0321159791398,4.2244681517283125,2.1303141042585656,0.573166012763977,0.07814959659210204,37.0321299235026,3.7599061051382217,0.032778808333356814,0.0009055058759179684
breast_cancer,1,L2-SP,1.0,0.0,0.5156862735748291,0.2257117276694477,0.5176470677057902,0.24473699086080436,47.745422999064125,21.44954647312061,2.678965131441752,1.901084270156342,0.45213016867637634,0.08388462571517455,31.820880889892578,4.047106235928711,0.03965807433329852,0.00501582718323375
breast_cancer,1,MSR,1.0,0.0,0.7686274449030558,0.21244443154844142,0.7549019654591879,0.23191195040959495,22.09019597371419,15.174521939833653,0.6354701506594816,0.6468607155252774,0.3593159665664037,0.16034938766428838,19.491980870564777,6.558719718731877,0.004614834333248534,0.0005882088563281419
breast_cancer,5,EWC,1.0,0.0,0.20281124611695608,0.045214177843167384,0.19277108709017435,0.04704970033679345,83.05362955729167,18.34153316613014,5.5702164967854815,1.4245000384770259,0.5732980767885844,0.04521299592578826,35.450445810953774,1.3703581056758587,0.08942900500005635,0.05270188342179913
breast_cancer,5,Euclidean-MSR,1.0,0.0,0.48995983600616455,0.07435145331383312,0.47590362032254535,0.05746621364049507,39.86346181233724,5.099292391035086,1.0149053732554119,0.10558473743566907,0.24758448203404745,0.01638502341058921,37.56633377075195,5.512489214465674,0.017405061000014637,0.005376710832469788
breast_cancer,5,FT,1.0,0.0,0.1807228922843933,0.06516056175859898,0.17469879736502966,0.06289341499995356,89.41501108805339,18.793539832493646,6.132891813913981,1.4490478065806667,0.6178957025210062,0.04832402479636104,41.22096633911133,1.3828426686555184,0.05227200666665036,0.023175713019002075
breast_cancer,5,L2-SP,1.0,0.0,0.20883533855279288,0.06982063572896681,0.19879518946011862,0.0651605679578567,77.34044138590495,15.684772681548587,5.021086533864339,1.2109766785571299,0.5193637708822886,0.034203312467039594,38.13459904988607,1.2315322508548459,0.07015820066665886,0.04392661553873175
breast_cancer,5,MSR,1.0,0.0,0.5100401639938354,0.09338969948102405,0.48795180519421893,0.11758566741304861,38.73511250813802,1.196955252265592,1.1009653011957805,0.2659106080473648,0.47543389598528546,0.0565789495688733,31.837840398152668,6.372324374899781,0.03297181466678012,0.006887016265450695
