edit_success,min_target_margin,preservation,preserve_accuracy,logit_drift,preservation_kl,relative_param_change,structural_cost,collateral_changes,dataset,seed,beta,n_edits,rounds
1.0,0.75,0.9719626307487488,0.9626168012619019,0.687161922454834,0.051889073103666306,0.08545276522636414,11.318136215209961,15,digits,7,0,5,7
1.0,0.75,0.9719626307487488,0.9626168012619019,0.6238155961036682,0.04348530247807503,0.09442000091075897,9.968330383300781,15,digits,7,1,5,6
1.0,0.75,0.9757009148597717,0.9663551449775696,0.6232656836509705,0.04224540665745735,0.10083674639463425,9.786867141723633,13,digits,7,2,5,8
1.0,0.75,0.977570116519928,0.968224287033081,0.6332643628120422,0.04191717132925987,0.10894227772951126,9.704983711242676,12,digits,7,4,5,10
1.0,0.7500004768371582,0.977570116519928,0.968224287033081,0.6509035229682922,0.04221700131893158,0.11849873512983322,9.678820610046387,12,digits,7,8,5,8
1.0,0.7499995231628418,0.977570116519928,0.968224287033081,0.6750950217247009,0.04292628541588783,0.1303163319826126,9.673409461975098,12,digits,7,16,5,10
1.0,0.75,0.977570116519928,0.968224287033081,0.7053630352020264,0.04394270107150078,0.1468929499387741,9.679086685180664,12,digits,7,32,5,4
1.0,0.75,0.7551020383834839,0.6938775777816772,11.923799514770508,0.4027825593948364,0.4177727997303009,26.071901321411133,12,wine,7,0,5,6
1.0,0.7500061988830566,0.795918345451355,0.7346938848495483,10.181720733642578,0.37532705068588257,0.4274938702583313,22.114046096801758,10,wine,7,1,5,4
1.0,0.75,0.795918345451355,0.7346938848495483,9.922675132751465,0.372808575630188,0.44111889600753784,21.19927978515625,10,wine,7,2,5,8
1.0,0.7499998807907104,0.795918345451355,0.7346938848495483,9.875941276550293,0.38039618730545044,0.4607536494731903,20.62689208984375,10,wine,7,4,5,10
1.0,0.7500001192092896,0.7755101919174194,0.7142857313156128,9.992149353027344,0.39892250299453735,0.4853839576244354,20.4317684173584,11,wine,7,8,5,10
1.0,0.7499998807907104,0.7346938848495483,0.6734693646430969,10.282015800476074,0.42739197611808777,0.5113041996955872,20.37894058227539,13,wine,7,16,5,10
1.0,0.75,0.7346938848495483,0.6734693646430969,10.366522789001465,0.43701350688934326,0.5319584012031555,20.352401733398438,13,wine,7,32,5,8
1.0,0.7500001788139343,0.4277108311653137,0.4457831382751465,45.3184928894043,1.0561143159866333,0.25706082582473755,39.64149856567383,95,breast_cancer,7,0,5,5
1.0,0.7500003576278687,0.46385541558265686,0.4819277226924896,41.798336029052734,0.8477077484130859,0.3210028409957886,35.03700637817383,89,breast_cancer,7,1,5,5
1.0,0.75,0.5240963697433472,0.5421686768531799,40.236568450927734,0.8179739713668823,0.36444607377052307,33.26631164550781,79,breast_cancer,7,2,5,5
1.0,0.75,0.5903614163398743,0.608433723449707,38.65936279296875,0.8019689321517944,0.41317665576934814,30.792295455932617,68,breast_cancer,7,4,5,8
1.0,0.7499999403953552,0.6024096608161926,0.608433723449707,38.14435577392578,0.7959474325180054,0.46717649698257446,29.78044891357422,66,breast_cancer,7,8,5,10
1.0,0.7499999403953552,0.5783132314682007,0.5843373537063599,38.569496154785156,0.8590468168258667,0.5373233556747437,29.770748138427734,70,breast_cancer,7,16,5,10
1.0,0.7500642538070679,0.5843373537063599,0.5903614163398743,38.64136505126953,0.8787131309509277,0.6118467450141907,29.720949172973633,69,breast_cancer,7,32,5,6
