dataset,seed,n_edits,msr_preservation,euclidean_preservation,delta_preservation,msr_structural_cost,euclidean_structural_cost,delta_structural_cost,msr_relative_param_change,euclidean_relative_param_change,delta_relative_param_change,msr_logit_drift,euclidean_logit_drift,delta_logit_drift,msr_preservation_kl,euclidean_preservation_kl,delta_preservation_kl
digits,7,1,1.0,1.0,0.0,0.44936224818229675,0.6301392316818237,-0.18077698349952698,0.007684763520956039,0.005811761599034071,0.0018730019219219685,0.0013043618528172374,0.0017736040754243731,-0.00046924222260713577,7.212807395262644e-05,0.00012190747656859457,-4.977940261596814e-05
digits,7,5,0.977570116519928,0.9719626307487488,0.005607485771179199,9.678820610046387,11.318136215209961,-1.6393156051635742,0.11849873512983322,0.08545276522636414,0.033045969903469086,0.6509035229682922,0.687161922454834,-0.03625839948654175,0.04221700131893158,0.051889073103666306,-0.009672071784734726
digits,7,10,0.9245283007621765,0.8999999761581421,0.024528324604034424,17.039098739624023,19.998886108398438,-2.959787368774414,0.20128318667411804,0.15043413639068604,0.05084905028343201,1.9367605447769165,2.207505226135254,-0.2707446813583374,0.16455261409282684,0.22001050412654877,-0.055457890033721924
digits,19,1,0.9981446862220764,0.9962894320487976,0.0018552541732788086,1.8838425874710083,2.6798741817474365,-0.7960315942764282,0.03008752502501011,0.02258395217359066,0.007503572851419449,0.03999176621437073,0.044645458459854126,-0.0046536922454833984,0.0014438295038416982,0.0018090923549607396,-0.00036526285111904144
digits,19,5,0.9476635456085205,0.9196261763572693,0.02803736925125122,11.714678764343262,15.408172607421875,-3.6934938430786133,0.16043218970298767,0.1086551696062088,0.05177702009677887,1.4618066549301147,1.4998012781143188,-0.0379946231842041,0.1167251467704773,0.14879560470581055,-0.03207045793533325
digits,19,10,0.8962264060974121,0.9018868207931519,-0.005660414695739746,14.450618743896484,18.464706420898438,-4.014087677001953,0.1846180409193039,0.13370272517204285,0.05091531574726105,2.0586633682250977,2.1052865982055664,-0.04662322998046875,0.20569396018981934,0.2291509360074997,-0.02345697581768036
digits,31,1,0.9814471006393433,0.9795918464660645,0.0018552541732788086,6.4959797859191895,8.529692649841309,-2.033712863922119,0.08513940125703812,0.058734189718961716,0.0264052115380764,0.5370105504989624,0.5825662016868591,-0.04555565118789673,0.035547733306884766,0.03957314416766167,-0.004025410860776901
digits,31,5,0.9570093750953674,0.945794403553009,0.011214971542358398,10.298564910888672,12.86540699005127,-2.5668420791625977,0.12930165231227875,0.09703516960144043,0.03226648271083832,1.106091022491455,1.2934479713439941,-0.18735694885253906,0.09020671248435974,0.11451105773448944,-0.0243043452501297
digits,31,10,0.8981131911277771,0.9037736058235168,-0.005660414695739746,14.457148551940918,19.240015029907227,-4.782866477966309,0.19256295263767242,0.13795189559459686,0.05461105704307556,2.0438244342803955,2.1804211139678955,-0.1365966796875,0.19118145108222961,0.2160065621137619,-0.024825111031532288
wine,7,1,0.9811320900917053,0.9433962106704712,0.03773587942123413,10.57296085357666,14.116103172302246,-3.543142318725586,0.29072698950767517,0.21370311081409454,0.07702387869358063,5.05800199508667,5.456284046173096,-0.3982820510864258,0.09918489307165146,0.13081590831279755,-0.03163101524114609
wine,7,5,0.7755101919174194,0.7551020383834839,0.020408153533935547,20.4317684173584,26.071901321411133,-5.640132904052734,0.4853839576244354,0.4177727997303009,0.06761115789413452,9.992149353027344,11.923799514770508,-1.931650161743164,0.39892250299453735,0.4027825593948364,-0.0038600564002990723
wine,7,10,0.6590909361839294,0.5454545617103577,0.11363637447357178,24.58018684387207,31.570356369018555,-6.990169525146484,0.6026231050491333,0.4979948401451111,0.10462826490402222,13.621479988098145,17.23078155517578,-3.6093015670776367,0.6055594086647034,0.7093946933746338,-0.10383528470993042
wine,19,1,0.9811320900917053,0.9811320900917053,0.0,6.531874179840088,9.389617919921875,-2.857743740081787,0.19483281672000885,0.14095966517925262,0.053873151540756226,2.237809181213379,2.3527867794036865,-0.11497759819030762,0.019531792029738426,0.012795569375157356,0.00673622265458107
wine,19,5,0.4897959232330322,0.5306122303009033,-0.040816307067871094,25.43704605102539,34.62919235229492,-9.192146301269531,0.675509512424469,0.46650609374046326,0.20900341868400574,19.42395782470703,21.659330368041992,-2.235372543334961,0.8508644700050354,0.8502965569496155,0.0005679130554199219
