dataset,seed,method,step,retained_edits,preservation,logit_drift,cumulative_step_cost,total_structural_cost
digits,7,FT,1,1.0,0.9307116270065308,2.339258909225464,27.881792068481445,27.881792068481445
digits,7,FT,2,1.0,0.795880138874054,8.246017456054688,75.0593090057373,54.11308288574219
digits,7,FT,3,1.0,0.6835206151008606,13.594141006469727,114.77461814880371,67.28861236572266
digits,7,FT,4,1.0,0.6647940278053284,16.89585304260254,166.243314743042,82.10982513427734
digits,7,FT,5,1.0,0.5543071031570435,23.972558975219727,205.88604927062988,88.9317855834961
digits,7,FT,6,1.0,0.5262172222137451,24.86846923828125,242.4045925140381,95.00421142578125
digits,7,Euclidean-MSR,1,1.0,1.0,0.0017830823780968785,0.6582625508308411,0.6582625508308411
digits,7,Euclidean-MSR,2,1.0,0.983146071434021,0.483955979347229,9.33040076494217,8.70614242553711
digits,7,Euclidean-MSR,3,1.0,0.9737827777862549,0.591378390789032,14.32780247926712,10.062919616699219
digits,7,Euclidean-MSR,4,1.0,0.9644194841384888,0.7054510116577148,16.646749556064606,10.703570365905762
digits,7,Euclidean-MSR,5,1.0,0.9644194841384888,0.7517188787460327,20.009272158145905,11.119726181030273
digits,7,Euclidean-MSR,6,1.0,0.9550561904907227,1.0602456331253052,27.07811552286148,13.431084632873535
digits,7,MSR,1,1.0,1.0,0.0013613459886983037,0.44921794533729553,0.44921794533729553
digits,7,MSR,2,1.0,0.9868913888931274,0.46645453572273254,8.44052568078041,8.005535125732422
digits,7,MSR,3,0.6666666865348816,0.9812734127044678,0.5728892087936401,12.084471851587296,8.78016471862793
digits,7,MSR,4,0.75,0.9775280952453613,0.6560576558113098,13.632093220949173,9.243824005126953
digits,7,MSR,5,0.800000011920929,0.9737827777862549,0.6868217587471008,16.037719756364822,9.528724670410156
digits,7,MSR,6,1.0,0.9644194841384888,0.9585012197494507,22.405806094408035,11.61674690246582
wine,7,FT,1,1.0,0.7083333134651184,16.200956344604492,26.090662002563477,26.090662002563477
wine,7,FT,2,1.0,0.5625,24.807693481445312,40.67243194580078,30.175369262695312
wine,7,FT,3,1.0,0.5625,49.21291732788086,54.66027641296387,40.18376159667969
wine,7,FT,4,1.0,0.5625,72.95179748535156,63.961605072021484,44.669227600097656
wine,7,FT,5,0.800000011920929,0.625,28.400117874145508,93.79188346862793,43.014678955078125
wine,7,FT,6,0.8333333134651184,0.5416666865348816,42.063819885253906,107.01065349578857,45.08241271972656
wine,7,Euclidean-MSR,1,1.0,0.9583333134651184,4.853511333465576,13.873613357543945,13.873613357543945
wine,7,Euclidean-MSR,2,1.0,0.7916666865348816,7.4059295654296875,18.66491174697876,15.39860725402832
wine,7,Euclidean-MSR,3,1.0,0.75,8.752920150756836,20.24310612678528,16.826393127441406
wine,7,Euclidean-MSR,4,1.0,0.75,8.752920150756836,20.24310612778528,16.826393127441406
wine,7,Euclidean-MSR,5,0.20000000298023224,0.9583333134651184,5.913477897644043,34.11893773178919,17.657176971435547
wine,7,Euclidean-MSR,6,0.6666666865348816,0.9166666865348816,7.670826435089111,37.881196023033695,20.095149993896484
wine,7,MSR,1,1.0,0.9791666865348816,4.501054763793945,10.204261779785156,10.204261779785156
wine,7,MSR,2,1.0,0.8333333134651184,6.682787895202637,13.674198150634766,11.373346328735352
wine,7,MSR,3,1.0,0.7291666865348816,8.660533905029297,15.320559740066528,12.483183860778809
wine,7,MSR,4,1.0,0.7291666865348816,8.660533905029297,15.320559741066528,12.483183860778809
wine,7,MSR,5,0.20000000298023224,0.9791666865348816,5.227109909057617,26.165858508156372,14.22984504699707
wine,7,MSR,6,0.6666666865348816,0.9375,6.569874286651611,28.243728400276733,15.145859718322754
breast_cancer,7,FT,1,1.0,0.6363636255264282,38.07889175415039,30.71641731262207,30.71641731262207
breast_cancer,7,FT,2,1.0,0.27272728085517883,96.88060760498047,50.349687576293945,45.93000411987305
breast_cancer,7,FT,3,1.0,0.23030303418636322,138.6137237548828,65.57179069519043,51.09496307373047
breast_cancer,7,FT,4,1.0,0.16363635659217834,200.42410278320312,80.84605026245117,57.2756233215332
breast_cancer,7,FT,5,1.0,0.16969697177410126,230.9066925048828,89.23845100402832,60.38310241699219
breast_cancer,7,FT,6,1.0,0.16363635659217834,247.87698364257812,93.40289402008057,60.9055061340332
breast_cancer,7,Euclidean-MSR,1,1.0,0.9090909361839294,17.925174713134766,25.54071807861328,25.54071807861328
breast_cancer,7,Euclidean-MSR,2,1.0,0.6969696879386902,35.43301010131836,34.69627094268799,33.41969299316406
breast_cancer,7,Euclidean-MSR,3,1.0,0.6242424249649048,38.37267303466797,36.59582197666168,34.241939544677734
breast_cancer,7,Euclidean-MSR,4,1.0,0.5090909004211426,45.5185546875,39.72096908092499,36.67494583129883
breast_cancer,7,Euclidean-MSR,5,1.0,0.41818180680274963,50.0946159362793,41.4873913526535,38.16474914550781
breast_cancer,7,Euclidean-MSR,6,1.0,0.41818180680274963,50.0946159362793,41.4873913536535,38.16474914550781
breast_cancer,7,MSR,1,1.0,0.9696969985961914,6.620011329650879,12.293792724609375,12.293792724609375
breast_cancer,7,MSR,2,1.0,0.6606060862541199,35.05094528198242,21.780898094177246,18.874126434326172
breast_cancer,7,MSR,3,1.0,0.6242424249649048,37.138328552246094,22.910794019699097,19.066404342651367
breast_cancer,7,MSR,4,1.0,0.5757575631141663,39.967010498046875,23.58143949508667,19.356441497802734
breast_cancer,7,MSR,5,1.0,0.5151515007019043,43.97854995727539,25.281512022018433,19.927997589111328
breast_cancer,7,MSR,6,1.0,0.5151515007019043,43.97854995727539,25.281512023018433,19.927997589111328
